,tweets,user_name,location,geo
161,"[𝗘𝗡 𝗩𝗜𝗩𝗢] 🔴 |En #HoyMismo #AlDía, ante aumento de casos de COVID-19 en La Ceiba, Atlántida, médico recomienda a la… https://t.co/kqulF5ybJO",HoyMismoTSI,Honduras,
162,"Is it safe to have an Audiological evaluation during Covid 19? Dominick Servedio, Audiologist discusses. https://t.co/DfWOXDbWm2",domsears,New York City,
163,El mundo cumple 6 meses de pandemia por COVID-19 con 16 millones de casos confirmados https://t.co/ObmQh7S2lq,SemanarioU,Costa Rica,
164,@PillowBryson world wide riots because BLACK LIVES MATTER the school said “y’all are violent all lives matter see y… https://t.co/XbHh14ntYb,docx_desh,rockin nTHA free world ॐ,
165,@KITV4 Hopefully no new covid super spread in the weeks to come.,journopixs,"Corona Del Mar, Ca & Hilo, Hi",
166,@myami_myeow That high oh yah but now I'm low seeing tonight's game has been postponed cuz Stupid Americans cities… https://t.co/fSwR8qtn4q,GeorgeXjr4,,
167,"I just told a woman on her shoes were cute &amp; she looked at me like I slapped her ass. 😜
FYI, compliments don’t give you COVID.",thekjohnston,nyc & la ,
168,"Really wanted to clean the carpets at our new rental, but because of COVID you cannot rent a @RugDoctor. Why can pe… https://t.co/XFiicgcI2H",AmandaMaeRenkel,"Nashville, TN",
169,"En 24 horas, Veracruz suma 250 nuevos contagios de COVID-19 y 23 muertes - Al Calor Político https://t.co/BM2nMscR5G",MovAntorchaPR,,
170,"No claro, con coches y camiones hacen bulto, bueno, bultito. Lo que sí, el nombre les viene bien: Frena, lema facho… https://t.co/r2Kim05m6U",Hasardevi,❥Dans le Dharma❣,
171,Odio al covid-19 tanto como al Chaqueño Palavecino.,AxelVaz70069485,,
172,"@ds10007631 @JosCarlosJmnz @catatl1 Al parecer mi cerebro anda mal, ya que me costó entender el mamarracho que acab… https://t.co/bmBPmDe7Kq",andresmedmel,,
173,"Hypothesis #1: People from Latin America are coming into the US sick with COVID and getting counted in our stats, a… https://t.co/jfDLrwaVXH",SalsaPrice,Realville,
174,"""To some American companies and Florida men, COVID-19 is apparently a war that will be won through antimicrobial bl… https://t.co/fCHHZJv8RH",BenBlankley,"Wichita, KS",
175,"I love when ppl try to validate the # of COVID deaths by saying “yeah, but they had comorbidities” like they’re not… https://t.co/hkeuxDeviD",rae_tayl,,
176,vim passar alguns dias de férias no interior de sp na casa dos meus pais. resolvi vir de @LATAM_BRA pois é longe da… https://t.co/7N1DUK2Etk,bieel,são paulo,
177,@BrexitDog_UK @pitzwang @simondolan Nurses are the same. They are human and can contract covid. Therefore EVERYONE… https://t.co/Obi4mhqnaz,al_martin71,uk,
178,Wonder when O'Brien found out he is COVID-19 positive?,ebroskie1234,Salem OR,
179,"""@GavinNewsom’s actions leave us wondering: In the face of the current COVID-19 public health crisis that is exacer… https://t.co/MQjXptNGQc",LastChance_CA,California,
180,Segundo dados do relatório “Quem Paga a Conta? – Taxar a Riqueza para Enfrentar a Crise da Covid na América Latina… https://t.co/EFii8Cnioj,ptbrasil,Brasília / Brasil,
181,"COVID-19 Has Given Hackers an Unfair Advantage, Experts Say https://t.co/L68ErI7WXO",cdeprivacy,,
182,@Hngstmngl @Elmeraculous Ik zou die persoon willen uitnodigen om het ziekenhuis te bezoeken. Hem/haar verwijzen naa… https://t.co/EKODjIEbkz,OngehoordN,,
183,It’s hilarious how @PMOIndia and @MoHFW_INDIA keep throwing India’s Covid recovery rate data out there. If your tes… https://t.co/U38KvaJYFK,ps_tarheel,"Minneapolis / New Delhi, India",
184,COVID-19: Bélgica endurece sus medidas por un repunte de 71% en los casos #Coronavirus https://t.co/PcyqBlKIXZ,Ricardo_Oroz,ESPAÑA  |  MÉXICO,
185,Why that #covid make like Stephen Hawking and die,ToxicMalk,,
186,This COVID shit messing up money,_JessicaOdom,Earth,
