,tweets,user_name,location,geo,ftokens,lemma
60,    No i think you dont get itThats with all of the variab… ,Jay333N,"Los Angeles, CA",,"['think', 'dont', 'get', 'itthats', 'variab…']","['think', 'dont', 'get', 'itthats', 'variab…']"
61,Im still painting portraits for COVID relief Hit me up if you want one  ,dinasophiaart,"Los Angeles, CA",,"['im', 'still', 'painting', 'portraits', 'covid', 'relief', 'hit', 'want', 'one']","['im', 'still', 'paint', 'portrait', 'covid', 'relief', 'hit', 'want', 'one']"
62, COVID ,TerrElReyLeon,"Pennsylvania, USA",,['covid'],['covid']
63,“Even though the German shepherd likely had cancer his health records show how little we know about animals and th… ,Nikki_T,LA ,,"['“', 'even', 'though', 'german', 'shepherd', 'likely', 'cancer', 'health', 'records', 'show', 'little', 'know', 'animals', 'th…']","['“', 'even', 'though', 'german', 'shepherd', 'likely', 'cancer', 'health', 'record', 'show', 'little', 'know', 'animal', 'th…']"
64, You let 140000 and counting Americans die of Covid 19 What’s all that about,playpiece,California 🌵🌲🌴,,"['let', '140000', 'counting', 'americans', 'die', 'covid', '19', '’']","['let', '140000', 'count', 'american', 'die', 'covid', '19', '’']"
65,You say whatiNust already has a covid case‍♂️ ,SirElpatron67,,,"['say', 'whatinust', 'already', 'covid', 'case\u200d♂️']","['say', 'whatinust', 'already', 'covid', 'case\u200d♂️']"
66,WHERE’S THE PROOF Bar and restaurant owners demand to see specific data that their establishments caused a spike i… ,JillianWPXI,"Pittsburgh, PA",,"['’', 'proof', 'bar', 'restaurant', 'owners', 'demand', 'see', 'specific', 'data', 'establishments', 'caused', 'spike', 'i…']","['’', 'proof', 'bar', 'restaurant', 'owner', 'demand', 'see', 'specific', 'data', 'establishment', 'cause', 'spike', 'i…']"
67,Exclusive COVID19 singapore ,withoutname2020,,,"['exclusive', 'covid19', 'singapore']","['exclusive', 'covid19', 'singapore']"
68, I just wonder how this tweet even makes sense bud I can tell you know how COVID works,ivanrodz10,"Houston, TX",,"['wonder', 'tweet', 'even', 'makes', 'sense', 'bud', 'tell', 'know', 'covid', 'works']","['wonder', 'tweet', 'even', 'make', 'sense', 'bud', 'tell', 'know', 'covid', 'work']"
69,  the countries that dont have COVID anymore didnt have masks so bad job at defending yourself,AlanParishhi,Reality,,"['countries', 'dont', 'covid', 'anymore', 'didnt', 'masks', 'bad', 'job', 'defending']","['country', 'dont', 'covid', 'anymore', 'didnt', 'mask', 'bad', 'job', 'defend']"
